entry_id	trans_english	Zuni_Phonemic
12.83	sphere, ball	mo-
12.84	line	pi-
12.85	hole	
12.92	like, similar	ʔikna
12.93	change	ʔiyal ihkˀʸa-
13.0	zero, nothing	- -
13.1	one	topinte
13.2	two	kʷilin
13.3	three	haʔin
13.4	four	ʔāwiten
13.5	five	ʔapten
13.6	six	topalekkˀʸa
13.7	seven	kʷilelekkˀʸa
13.8	eight	haʔelekkˀʸa
13.9	nine	tenalekkˀʸa
13.10	ten	ʔastemɬan
13.101	eleven	ʔastemɬa tāp topinte
13.102	twelve	ʔastemɬa tāp kʷilin
13.103	fifteen	ʔastemɬa tāp ʔapten
13.104	twenty	kʷilikˀʸan ʔastemɬan
13.105	hundred	ʔasi ʔastemɬan
13.106	thousand	tapnimte mīɬ
13.107	count	yale-
13.14	every, all	lēwi; temɬan
13.15	much, many	ʔemma
13.16	more	ʔaɬna
13.17	little (quantity), few	kōwi
13.18	enough	ʔečči-
13.181	some	- -
13.19	multitude, crowd	- -
13.21	full	potti-; kosna-
13.22	empty	- -
13.23	part, piece	mu-
13.24	half	- -
13.33	alone, only	samma; teʔči
13.34	first	ʔehkʷi-; kʸela-
13.35	last	yalu-
13.36	second	kʷilikˀʸan
13.37	pair	ʔāči
13.38	two times	kʷilikʔʸan
13.42	third	haʔikˀʸan
13.44	three times	haʔikˀʸan
14.11	time	- -
14.12	age	ɬaššīwe
14.13	new	čim ʔona
14.14	young	šiha
14.15	old	ɬašši-
14.16	early	- -
14.17	late	- -
14.18	now	čimi
14.19	immediately	hanaʔte
14.21	swift, fast, quick	kˀʸahaya-
14.22	slow	tikʷahna-
14.23	hasten, hurry	hešši-
14.24	retard, delay	- -
14.25	begin, beginning	teyʔu-
14.252	last, endure	yoc̷c̷ikkˀʸa-
14.26	end (temporal)	- -
14.27	finish	yākˀʸa-
14.28	cease, stop	čune-
14.29	ready	yāna-
14.31	always	ʔišaɬmaʔte
14.32	often	ʔimaštoɬi
14.33	sometimes	kʸākˀʸi
14.331	soon	wan
14.332	long-time (for a)	- -
14.34	never	kʷaʔ kʸayi ʔinaʔmaʔ
14.35	again	tēya
14.41	day	yato-
14.42	night	tehɬappa; tehɬina-
14.43	dawn	- -
14.44	morning	ʔiččite
14.45	noon, midday	ʔitiwʔan
14.451	afternoon	ʔitiwakʸatappa
14.46	evening	sunha-; sunnaha-
14.47	today	lākˀʸi
14.48	tomorrow	tewani
14.481	day-after-tomorrow	- -
14.49	yesterday	teššukˀʷaʔ
14.491	day-before-yesterday	- -
14.51	hour	- -
14.53	clock, timepiece	yatokkʸa
14.61	week	tuminku
14.62	Sunday	tuminku tewappa
14.63	Monday	činnakʷ ʔīkʷānʔappa
14.64	Tuesday	kʷilitewan ʔīkʷānʔappa
14.65	Wednesday	haʔitewan ʔīkʷānʔappa
14.66	Thursday	ʔāwiten ʔīkʷānʔappa
14.67	Friday	ʔaɬnaʔte ʔīkʷānʔappa
14.68	Saturday	tuminku ʔančˀappa
14.71	month	yaču-
14.73	year	tepikʷayina-
14.74	winter	tehc̷ˀi-
14.75	spring	telakʷayi
14.76	summer	ʔoloʔʔikˀʸa
14.77	autumn	miyašēnakˀʸappa
14.78	season	- -
15.21	smell (vb intrans)	teči-
15.212	sniff	musmu-
15.22	smell (vb trans)	musmu-
15.25	fragrant, good smelling	- -
15.26	stinking, bad smelling	- -
15.31	taste	- -
15.35	sweet	čikʷa-
15.36	salty	kˀose-
15.37	bitter	- -
15.38	acid, sour	ʔopi-
15.39	brackish	kˀose-
15.41	hear	hatiyāw-
15.42	listen	hatiyāw-
15.44	sound, noise	ʔawoteya-
15.45	loud	wawawa-
15.46	quiet, silence	ʔayyuɬaššina-
15.51	see	ʔankˀohakˀʸa-
15.52	look, look at	ʔuna-; tuna-
15.55	show	ʔunaʔu-
15.56	shine	walolo-
15.57	bright	- -
15.61	color	- -
15.62	light (in color)	kˀoha-
15.63	dark (in color)	kˀʷi-
15.64	white	kˀoha-
15.65	black	kˀʷi-
15.66	red	šilowa-
15.67	blue	ɬiʔʔa-
15.68	green	ʔašena
15.69	yellow	ɬupc̷ˀi-
15.71	touch	yate-
15.712	pinch	- -
15.72	feel	hati-
15.74	hard	ɬoʔo-
15.75	soft	ɬuc̷ˀina-
15.76	rough	čippa-
15.77	smooth	kˀʸalolo-
15.78	sharp	ʔotta-
15.79	blunt, dull	- -
15.81	heavy	yukti-
15.82	light (in weight)	- -
15.83	wet, damp	kˀʸi-
15.84	dry	kˀusa-
15.85	hot	kˀʸaɬi-
15.851	warm	yusu-
15.86	cold	c̷ˀe-
15.87	clean	- -
15.88	dirty, soiled	ʔančiʔmowa
15.89	wrinkled	wikˀolīwe
16.11	soul, spirit	hapa
16.15	surprised, astonished	yučiʔa-
16.18	good fortune, luck	ʔanikčiya-
16.19	misfortune, bad luck	- -
16.23	joyful, glad, happy	kˀʸec̷c̷ana-
16.25	laugh	šikʷi-
16.251	smile	šikʷi-
16.26	play	ʔikˀoša-
16.27	love	ʔičema-
16.29	kiss	c̷ˀupɬi-
16.3	embrace	kˀʸeškʷi-
16.31	pain	ʔuwe-
16.32	grief, sorrow, sadness	- -
16.33	anxiety, worry	c̷eʔma-
16.34	regret, be sorry	- -
16.35	pity	ʔankoʔhati-
16.37	cry, weep	tuwowokˀʸa-
16.38	tear (noun)	- -
16.39	groan	yuɬamiččo-
16.41	hate	ʔayyukˀʸaɬi-
16.42	anger	ʔikʸa-
16.44	envy, jealousy	ʔočoma
16.45	shame (noun)	- -
16.48	proud	ʔanc̷ʔuhma-
16.51	dare	ʔeɬʔe-
16.52	brave	yoc̷c̷ikkˀʸa-
16.53	fear, fright	ʔattana-
16.54	danger	ʔattanni-
16.62	desire, want	ʔalima-
16.622	choose	ʔakšiha-
16.63	hope	- -
16.65	faithful	- -
16.66	true	ʔelleya
16.67	lie, tell lies	yosēwe; yosekˀʸē-
16.68	deceit	- -
16.69	forgive	- -
16.71	good	kˀokši-
16.72	bad	poča-
16.73	right, correct	lesnu-
16.74	wrong	tekˀʸayaɬaʔu-
16.76	fault	c̷eʔmakʷinnakʸa
16.77	mistake, error	koʔti-lewu-
16.78	blame	ʔahkˀʸa-
16.79	praise	- -
16.81	beautiful	c̷oʔya-
16.82	ugly	ʔayyac̷a-
16.83	greedy	- -
16.84	clever	- -
17.11	mind	- -
17.13	think (= reflect)	c̷eʔma-
17.14	think (= be of the opinion)	c̷eʔma-
17.15	believe	ʔiɬtema-
17.16	understand	yuʔhētu-
17.17	know	ʔanikʷa-; ʔannapi-
17.171	guess	ʔanʔawa-
17.172	imitate	kˀʸeya-
17.18	seem	- -
17.19	idea, notion	- -
17.21	wise	yayyuʔyāna-
17.22	foolish, stupid	yayyuʔyānʔamme-
17.23	insane, crazy	wiʔwi-
17.24	learn	yanikʷati-
17.242	study	- -
17.25	teach	ʔanikkˀʸa-
17.26	pupil	- -
17.27	teacher	c̷ˀinā yanikkˀʸēnona
17.28	school	- -
17.31	remember	ʔanʔawa-
17.32	forget	tommiyo-; tettomāyo-
17.34	clear, plain	- -
17.35	obscure	- -
17.36	secret	- -
17.37	sure, certain	ʔelleya
17.38	explain	- -
17.41	intention, purpose	- -
17.42	cause	- -
17.43	doubt	- -
17.44	suspect	- -
17.441	betray	- -
17.45	need, necessity	- -
17.46	easy	- -
17.47	difficult	teni-
17.48	try, attempt	ʔiteʔču-
17.49	way, manner	- -
17.51	and	tāp; s(i)
17.52	because	ʔakkʸa
17.53	if	čiš
17.54	or	hapiš
17.55	yes, affirmative	hayi; ʔe
17.56	no, negative	ʔeɬɬa
17.61	how?	koʔpi; koppi
17.62	how many?	kōwiʔpi
17.63	how much?	kōwiʔpi
17.64	what?	koʔpi; koppi
17.65	when?	kʸākˀʸipi
17.66	where?	hoppi
17.67	which?	hokˀʸampi
17.68	who?	čuwapi
17.69	why?	kop lāti
18.11	voice	pe-na-
18.12	sing	tenʔu-
18.13	shout, cry out	weʔa-
18.15	whisper	šakʷakʷa-
18.16	mumble	ʔumumu-
18.17	whistle	saʔsa-
18.18	shriek, screech	čʔewowo-
18.19	howl	tuwowokˀʸa-
18.21	speak, talk	pen-
18.211	stutter, stammer	pen ʔīnē-
18.22	say	ʔikʷa-
18.221	tell story	ʔatinē-
18.222	speech (make a)	- -
18.23	silent (be)	telokkˀʸana-
18.24	language	- -
18.26	word	pena-
18.28	name	šiʔi-
18.31	ask (question, inquire)	yaɬa-
18.32	answer	ʔansewahkˀʸa-
18.33	admit, confess	moɬaʔpen-
18.34	deny	yalih-; yališ-
18.35	ask, request	hakkˀʸa-
18.36	promise	ʔeletoknaʔ haytoš-
18.37	refuse	- -
18.38	forbid	ʔipanaye; ʔayyutenkʸa
18.39	rebuke, scold	ʔan-hemmo-ti-; ʔinapē-
18.41	call (=summon)	šema-
18.42	call (=name)	- -
18.43	announce	weʔaččoy-
18.44	threaten	- -
18.45	boast	- -
18.51	write	- -
18.52	read	- -
18.56	paper	c̷ˀina-
18.57	pen	- -
18.61	book	- -
18.67	poet	- -
18.71	flute	pūpu-na-
18.72	drum	tomtona-
18.73	horn, trumpet	pūpuna-
18.74	rattle	c̷iʔmo-
19.11	country	ʔulohna-
19.12	one's native country	- -
19.15	city, town	- -
19.16	village	- -
19.17	boundary	paɬto-
19.21	people (populace)	- -
19.23	tribe, clan	ʔannoti-
19.24	chief, chieftain	ʔanʔuɬɬa mossʔona; tāpūpu
19.25	staff, walking stick	tamteɬna-
19.31	rule, govern	- -
19.32	king, ruler	- -
19.33	queen	- -
19.36	noble, nobleman	- -
19.37	citizen, subject	- -
19.41	master	- -
19.42	slave	wo-
19.43	servant	wo-
19.44	freeman	- -
19.45	command, order	- -
19.46	obey	hatiyāw-
19.47	let, permit	ʔansewaha-
19.51	friend, companion	kuwaye
19.52	enemy	ʔinākʷe
19.54	neighbor	- -
19.55	stranger	čuhoɬti-
19.56	guest	- -
19.57	host	- -
19.58	help, aid	ʔansatto-
19.59	hinder, prevent	- -
19.61	custom	haytošnāwe
19.62	strife, quarrel	ʔīyanapē-; ʔīwolē-
19.63	conspiracy, plot	- -
19.65	meet	
19.72	prostitute	- -
20.11	fight (vb)	- -
20.13	war, battle	- -
20.14	peace	- -
20.15	army	- -
20.17	soldier	sontālīkʷe; sontālu
20.21	weapons, arms	- -
20.22	club	- -
20.222	battle-ax	- -
20.23	sling	- -
20.24	bow	piʔɬa-
20.25	arrow	šo-
20.26	spear	lansa
20.27	sword	- -
20.28	gun, cannon	towoʔʔana-
20.31	armor (defensive)	- -
20.33	helmet	- -
20.34	shield	ʔalla-
20.35	fortress	- -
20.36	tower	- -
20.41	victory	- -
20.42	defeat	- -
20.43	attack	- -
20.44	defend	- -
20.45	retreat	- -
20.46	surrender	- -
20.47	captive, prisoner	yatenaʔkʸan ʔuččukˀona; wo-
20.471	guard, sentinel	yupačˀona
20.48	booty, spoils	- -
20.49	ambush	- -
20.51	fisherman	wopkˀʸališēnʔona
20.52	fishhook	kˀʸaššitokkʸa niʔc̷ˀikˀo-
20.53	fishing line	- -
20.54	fishnet	- -
20.55	fish trap	- -
20.56	bait	- -
20.61	hunt	ɬata-
20.62	shoot	ɬaku-; towo-
20.63	miss (target)	- -
20.64	trap (noun)	- -
20.65	trap (vb)	- -
21.11	law	- -
21.15	court	koɬta
21.16	judge (vb)	- -
21.17	judgment	- -
21.18	judge (noun)	- -
21.21	plaintiff	- -
21.22	defendant	- -
21.23	witness	ʔayyuʔyānākʷe
21.24	swear	- -
21.25	oath	- -
21.31	accuse	- -
21.32	condemn	- -
21.33	convict (vb)	- -
21.34	acquit	- -
21.35	guilty	- -
21.36	innocent	- -
21.37	penalty, punishment	- -
21.38	fine	- -
21.39	prison, jail	ʔučču-
21.42	murder	- -
21.43	adultery	ʔoyemšišē-
21.44	rape	- -
21.46	arson	- -
21.47	perjury	- -
21.51	steal	hanɬi-
21.52	thief	kʷaʔaɬ hanɬi-n-ʔona
22.11	religion	tewusuʔ
22.12	God	- -
22.13	temple, church	- -
22.14	altar	teškʷi-
22.15	sacrifice, offering	tahakʸīwe
22.16	worship	- -
22.17	pray	tewusukkˀʸa-
22.18	priest	šiwani; kʸanamme; tutac̷c̷i
22.19	holy, sacred	- -
22.22	preach	- -
22.23	bless	ʔantewusukˀʸa-
22.24	curse	- -
22.26	fast (vb)	teškʷi-
22.31	heaven	- -
22.32	hell	- -
22.35	demon (evil spirit)	- -
22.37	idol	- -
22.42	magic, witchcraft, sorcery	- -
22.43	sorcerer, witch	haɬikʷi; ʔoheppo-
22.44	fairy, elf	- -
22.45	ghost, phantom	hapa
22.47	omen, portent	ʔattanni
