entry_id	trans_english	Cavineña_Phonemic
14.74	winter	
14.75	spring	
14.76	summer	mara patʸa
14.77	autumn	
14.78	season	ena mara
15.21	smell (vb intrans)	hiro-ya
15.212	sniff	wani-da
15.22	smell (vb trans)	wani
15.25	fragrant, good smelling	ihime-da
15.26	stinking, bad smelling	iwi-da
15.31	taste	bihi-da
15.35	sweet	waha-da
15.36	salty	bano-waha
15.37	bitter	pac̷e-da
15.38	acid, sour	basi-da; hako-da
15.39	brackish	
15.41	hear	baka-ya
15.42	listen	baka-ya
15.44	sound, noise	sikaka-da; dodo-
15.45	loud	sikaka-da
15.46	quiet, silence	abakata
15.51	see	ba-ya
15.52	look, look at	peta-ya
15.55	show	ba-mere-ya
15.56	shine	weka-da; tiki-da
15.57	bright	weka-da
15.61	color	peya-peya
15.62	light (in color)	
15.63	dark (in color)	sewe-sewe
15.64	white	paha-da
15.65	black	sewe-da
15.66	red	pode-da
15.67	blue	sawa-da
15.68	green	sawa-da
15.69	yellow	hawa-da
15.71	touch	dodo-ya
15.712	pinch	modi-
15.72	feel	haba-ya
15.74	hard	pahi-da-ke
15.75	soft	šabi-da
15.76	rough	c̷eke-da
15.77	smooth	momi-ya
15.78	sharp	kʷero-da
15.79	blunt, dull	kʷero-da-ma
15.81	heavy	bikʷe-da
15.82	light (in weight)	ebaharara
15.83	wet, damp	naka-da
15.84	dry	e-ora
15.85	hot	oke-da
15.851	warm	oke-da
15.86	cold	ba-da-ke; bane-
15.87	clean	tilʸa-ya
15.88	dirty, soiled	asika-da-ke
15.89	wrinkled	hibi-hibi
16.11	soul, spirit	yatanana
16.15	surprised, astonished	
16.18	good fortune, luck	piyeho
16.19	misfortune, bad luck	
16.23	joyful, glad, happy	pore-ama
16.25	laugh	c̷a-ya
16.251	smile	c̷a-ya
16.26	play	ihawe-ho-ya
16.27	love	hida-ba-ya
16.29	kiss	dʸawa-ya
16.3	embrace	kamakakati-ya
16.31	pain	ohe-da
16.32	grief, sorrow, sadness	hida-ma inime
16.33	anxiety, worry	inime-ba-; inime-topo-
16.34	regret, be sorry	hida-ma inime
16.35	pity	
16.37	cry, weep	pa-ya
16.38	tear (noun)	pa-ana-kaka
16.39	groan	
16.41	hate	oheo
16.42	anger	kawai-ti-ya
16.44	envy, jealousy	mewe-ya
16.45	shame (noun)	bisoa-ki; biso-ya
16.48	proud	kasomiti
16.51	dare	kʷeha-wana-ma
16.52	brave	
16.53	fear, fright	bahi-da
16.54	danger	mo-da
16.62	desire, want	bihi-da
16.622	choose	mepe-ya
16.63	hope	iwa-ya
16.65	faithful	
16.66	true	yoneri
16.67	lie, tell lies	yana-kana
16.68	deceit	
16.69	forgive	nerekaba-ya
16.71	good	hida; hida-kʷita
16.72	bad	hida-ma
16.73	right, correct	
16.74	wrong	
16.76	fault	hoča-ki
16.77	mistake, error	inime kohiša-ya
16.78	blame	hoča-ki
16.79	praise	
16.81	beautiful	hida-pihi
16.82	ugly	hika-da-ke
16.83	greedy	
16.84	clever	
17.11	mind	
17.13	think (= reflect)	inime-topo-ya
17.14	think (= be of the opinion)	
17.15	believe	ehene-ya
17.16	understand	
17.17	know	bawe-dʸa
17.171	guess	adeba-ya
17.172	imitate	
17.18	seem	ehitaho
17.19	idea, notion	i-yoka-ki
17.21	wise	bawe-ke
17.22	foolish, stupid	inime-ma
17.23	insane, crazy	e-k-ihawa-ti
17.24	learn	ka-bawi-tʸa-ti-ya
17.242	study	ka-bawi-tʸa-ti-ya
17.25	teach	bawi-tʸa-ya
17.26	pupil	
17.27	teacher	bawi-tʸa-ki-ke
17.28	school	
17.31	remember	adeba-ya
17.32	forget	nime-apo-ta-ya
17.34	clear, plain	ehitaho amere-ya
17.35	obscure	
17.36	secret	
17.37	sure, certain	yoneri
17.38	explain	
17.41	intention, purpose	
17.42	cause	
17.43	doubt	
17.44	suspect	
17.441	betray	
17.45	need, necessity	sare-ya
17.46	easy	ibeda-ma
17.47	difficult	masa-da
17.48	try, attempt	kati-ya
17.49	way, manner	inime
17.51	and	hadʸa
17.52	because	eheboča-hoac̷o
17.53	if	
17.54	or	
17.55	yes, affirmative	heheʔe
17.56	no, negative	-ma; ama
17.61	how?	a(ʔ)i
17.62	how many?	ehoma
17.63	how much?	ehe-oma
17.64	what?	a(ʔ)i; ehe
17.65	when?	ehe-c̷ono
17.66	where?	eho
17.67	which?	aikʷana
17.68	who?	e-he-ke
17.69	why?	išapa
18.11	voice	e-c̷ori
18.12	sing	hero-ya
18.13	shout, cry out	keke-ya
18.15	whisper	eweraka
18.16	mumble	
18.17	whistle	owi-ya
18.18	shriek, screech	
18.19	howl	keke-ya
18.21	speak, talk	k-isara-ti-ya
18.211	stutter, stammer	anakoo koo
18.22	say	a-ya; kʷeha-ya
18.221	tell story	pieba-ya
18.222	speech (make a)	
18.23	silent (be)	abaka-da
18.24	language	yana
18.26	word	k-isara-ti
18.28	name	e-ba-ka-ni
18.31	ask (question, inquire)	baka-ti-ya
18.32	answer	kemic̷a-ya
18.33	admit, confess	ho-kamepana-ti-
18.34	deny	
18.35	ask, request	baka-ti-ya
18.36	promise	ka-tʸa-ti-ya
18.37	refuse	
18.38	forbid	bihida-ma
18.39	rebuke, scold	nere-da
18.41	call (=summon)	iwara-ya
18.42	call (=name)	
18.43	announce	c̷ape-ya
18.44	threaten	awara-ya
18.45	boast	wenana-
18.51	write	e-wene-ke
18.52	read	isara-ya
18.56	paper	kirika ~ kilika
18.57	pen	
18.61	book	kirika
18.67	poet	
18.71	flute	raota; mori
18.72	drum	komo-komo
18.73	horn, trumpet	
18.74	rattle	matarka
19.11	country	yawa
19.12	one's native country	
19.15	city, town	epo-ari-da-ke
19.16	village	epo-ho
19.17	boundary	
19.21	people (populace)	ekʷita-kʷana
19.23	tribe, clan	
19.24	chief, chieftain	wara-hi
19.25	staff, walking stick	sari
19.31	rule, govern	
19.32	king, ruler	--
19.33	queen	--
19.36	noble, nobleman	--
19.37	citizen, subject	ata; ekʷita
19.41	master	
19.42	slave	nerekada-kec̷ohe-tiayaama
19.43	servant	
19.44	freeman	
19.45	command, order	kʷadi-ša-
19.46	obey	baka-ya
19.47	let, permit	šana-ya
19.51	friend, companion	ata
19.52	enemy	ata(ʔ)ama
19.54	neighbor	ata
19.55	stranger	mec̷e-ki-ke
19.56	guest	
19.57	host	
19.58	help, aid	c̷awa-ya
19.59	hinder, prevent	čiki-ya
19.61	custom	inime
19.62	strife, quarrel	sikakadaho-ya
19.63	conspiracy, plot	
19.65	meet	c̷oro-ya
19.72	prostitute	
20.11	fight (vb)	kati-ya
20.13	war, battle	
20.14	peace	abaka-da
20.15	army	--
20.17	soldier	[sodaro]
20.21	weapons, arms	tobo
20.22	club	
20.222	battle-ax	
20.23	sling	maɲa-ri
20.24	bow	etonono
20.25	arrow	piya
20.26	spear	hada-hada
20.27	sword	
20.28	gun, cannon	--
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	
20.35	fortress	
20.36	tower	
20.41	victory	ihawe-aya
20.42	defeat	
20.43	attack	a-ya
20.44	defend	ikʷene-ya
20.45	retreat	
20.46	surrender	
20.47	captive, prisoner	
20.471	guard, sentinel	iya-hida-a-
20.48	booty, spoils	
20.49	ambush	
20.51	fisherman	motʸa-ya
20.52	fishhook	wika
20.53	fishing line	wika-(ʔ)oho
20.54	fishnet	sopo-ti
20.55	fish trap	sopoti
20.56	bait	emiwa-ki
20.61	hunt	babi-ra
20.62	shoot	mare-
20.63	miss (target)	
20.64	trap (noun)	tehi
20.65	trap (vb)	
21.11	law	
21.15	court	taraka
21.16	judge (vb)	inime pakakaša-ya
21.17	judgment	
21.18	judge (noun)	
21.21	plaintiff	
21.22	defendant	--
21.23	witness	
21.24	swear	
21.25	oath	
21.31	accuse	hidama-a-ya
21.32	condemn	ihawa-ho-ya
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	
21.36	innocent	
21.37	penalty, punishment	kac̷a-ya
21.38	fine	c̷ohe-baka-
21.39	prison, jail	e-tare-apo-da-ke
21.42	murder	iye-ya
21.43	adultery	
21.44	rape	
21.46	arson	
21.47	perjury	
21.51	steal	čiri-ya
21.52	thief	čiri-pohi
22.11	religion	
22.12	God	[yoso]
22.13	temple, church	[iriša]
22.14	altar	
22.15	sacrifice, offering	
22.16	worship	moida-ho-ya
22.17	pray	[yosa]-mimi
22.18	priest	[pa(ʔ)e]-ra
22.19	holy, sacred	moida-ho-
22.22	preach	kʷeha-ya
22.23	bless	
22.24	curse	
22.26	fast (vb)	
22.31	heaven	
22.32	hell	e-tiki-doko
22.35	demon (evil spirit)	ihawa
22.37	idol	[yoso]-kʷana
22.42	magic, witchcraft, sorcery	hidama-a-ya
22.43	sorcerer, witch	maro-pohi
22.44	fairy, elf	
22.45	ghost, phantom	
22.47	omen, portent	
