entry_id	trans_english	Estonian_Phonemic
13.33	alone, only	üksi; ainus; ainult; waid
13.34	first	esimene
13.35	last	wiimane
13.36	second	teine
13.37	pair	paar̃
13.38	two times	kaks kor̃da
13.42	third	kolmas
13.44	three times	kolm kor̃da
14.11	time	aeg
14.12	age	wanus
14.13	new	uus
14.14	young	noor̃
14.15	old	wana
14.16	early	war̃a
14.17	late	hilya
14.18	now	nüüd; pr̃aegu
14.19	immediately	otsekohe
14.21	swift, fast, quick	kiir̃e; kær̃mas
14.22	slow	aeglane
14.23	hasten, hurry	kiir̃ustama; r̃uttama
14.24	retard, delay	wiiwitama
14.25	begin, beginning	alustama; hakkama; algus
14.252	last, endure	kestma
14.26	end (temporal)	ləpp
14.27	finish	ləpetama
14.28	cease, stop	peatuma; ləppema
14.29	ready	walmis
14.31	always	alati
14.32	often	tihti; sageli
14.33	sometimes	mənikor̃d; wahel
14.331	soon	war̃sti
14.332	long-time (for a)	kaua
14.34	never	mitte kunagi; ei iialgi
14.35	again	yælle; uuesti
14.41	day	pæew
14.42	night	öö
14.43	dawn	koit ~ koidik
14.44	morning	hommik
14.45	noon, midday	keskpæew; ləuna
14.451	afternoon	pær̃astləuna
14.46	evening	əhtu
14.47	today	tæna
14.48	tomorrow	homme
14.481	day-after-tomorrow	ülehomme
14.49	yesterday	eile
14.491	day-before-yesterday	üleeile
14.51	hour	tund
14.53	clock, timepiece	kell
14.61	week	nædal
14.62	Sunday	pühapæew
14.63	Monday	esmaspæew
14.64	Tuesday	teisipæew
14.65	Wednesday	kolmapæew
14.66	Thursday	nelyapæew
14.67	Friday	r̃eede
14.68	Saturday	laupæew
14.71	month	kuu
14.73	year	aasta
14.74	winter	talw
14.75	spring	kewad
14.76	summer	suwi
14.77	autumn	sügis
14.78	season	aastaaeg
15.21	smell (vb intrans)	ləhnama
15.212	sniff	nuhutama
15.22	smell (vb trans)	nuusutama
15.25	fragrant, good smelling	healəhnaline; ar̃omaatne
15.26	stinking, bad smelling	haisew; lehkaw
15.31	taste	maitsma
15.35	sweet	magus
15.36	salty	soolane
15.37	bitter	kibe; mər̃u
15.38	acid, sour	hapu
15.39	brackish	soolakas
15.41	hear	kuulma
15.42	listen	kuulama
15.44	sound, noise	heli ~ hææl
15.45	loud	wali; kəwa
15.46	quiet, silence	waikus
15.51	see	nægema
15.52	look, look at	waatama; waatlema
15.55	show	næitama
15.56	shine	paistma; sær̃ama
15.57	bright	hele; sær̃aw
15.61	color	wær̃w
15.62	light (in color)	hele
15.63	dark (in color)	tume
15.64	white	walge
15.65	black	must
15.66	red	punane
15.67	blue	sinine
15.68	green	r̃oheline
15.69	yellow	kollane
15.71	touch	puudutama
15.712	pinch	næpistama
15.72	feel	tundma
15.74	hard	kəwa
15.75	soft	pehme
15.76	rough	kar̃e; kar̃m
15.77	smooth	sile; tasane
15.78	sharp	ter̃aw
15.79	blunt, dull	nür̃i
15.81	heavy	r̃aske
15.82	light (in weight)	ker̃ge
15.83	wet, damp	mær̃g; niiske
15.84	dry	kuiw
15.85	hot	kuum; tuline
15.851	warm	soe
15.86	cold	külm
15.87	clean	puhas
15.88	dirty, soiled	must; mæær̃dunud
15.89	wrinkled	kor̃tsuline
16.11	soul, spirit	hing; waim
16.15	surprised, astonished	imestunud; üllatunud
16.18	good fortune, luck	ənn
16.19	misfortune, bad luck	ebaənn; ənnetus
16.23	joyful, glad, happy	r̃əəmus; ləbus; ənnelik
16.25	laugh	naer̃ma
16.251	smile	naer̃atama
16.26	play	mængima
16.27	love	ar̃mastus; ar̃mastama
16.29	kiss	suudlema
16.3	embrace	embama
16.31	pain	walu; piin
16.32	grief, sorrow, sadness	kur̃bus; kur̃wastus
16.33	anxiety, worry	mur̃e
16.34	regret, be sorry	kahetsema
16.35	pity	kaastunne; halastus
16.37	cry, weep	nutma
16.38	tear (noun)	pisar̃
16.39	groan	ægama ~ oigama
16.41	hate	wihkama; wihkamine; wihawaen
16.42	anger	wiha
16.44	envy, jealousy	kadedus; ar̃mukadedus
16.45	shame (noun)	hæbi
16.48	proud	uhke; kər̃k
16.51	dare	yulgema; söandama
16.52	brave	yulge; wapper̃
16.53	fear, fright	kar̃tus; hir̃m
16.54	danger	hædaoht; oht
16.62	desire, want	soowima; tahtma
16.622	choose	walima
16.63	hope	lootus
16.65	faithful	ustaw; tr̃uu
16.66	true	əige; təsi
16.67	lie, tell lies	waletama
16.68	deceit	pettus
16.69	forgive	andestama; andeks andma
16.71	good	hea
16.72	bad	halb; paha
16.73	right, correct	əige
16.74	wrong	wale; wæær̃
16.76	fault	süü
16.77	mistake, error	wiga; eksitus
16.78	blame	laitus
16.79	praise	kiitus
16.81	beautiful	ilus ~ kaunis
16.82	ugly	inetu
16.83	greedy	ahne
16.84	clever	tar̃k; intelligentne
17.11	mind	məistus; ar̃u
17.13	think (= reflect)	mətlema
17.14	think (= be of the opinion)	ar̃wama
17.15	believe	uskuma
17.16	understand	ar̃u saama; məistma
17.17	know	teadma; tundma
17.171	guess	ar̃wama; oletama
17.172	imitate	yælyendama; matkima
17.18	seem	næima; tunduma
17.19	idea, notion	məte; idee; kuyutlus
17.21	wise	(elu)tar̃k
17.22	foolish, stupid	r̃umal; yuhm
17.23	insane, crazy	hullumeelne ~ hull
17.24	learn	əppima
17.242	study	əppima
17.25	teach	əpetama
17.26	pupil	əpilane
17.27	teacher	əpetaya
17.28	school	kool
17.31	remember	mæletama; meeles pidama
17.32	forget	unustama
17.34	clear, plain	selge; ar̃usaadaw
17.35	obscure	selgusetu; segane
17.36	secret	salayane
17.37	sure, certain	kindel
17.38	explain	seletama ~ selgitama
17.41	intention, purpose	kawatsus; eesmær̃k
17.42	cause	pəhyustama; tekitama
17.43	doubt	kahtlema
17.44	suspect	kahtlustama
17.441	betray	r̃eetma
17.45	need, necessity	wayadus; tar̃widus
17.46	easy	ker̃ge
17.47	difficult	r̃aske
17.48	try, attempt	püüdma; ür̃itama
17.49	way, manner	toimimiswiis; kæitumine
17.51	and	ya
17.52	because	sest et; sellepær̃ast et
17.53	if	kui
17.54	or	wəi
17.55	yes, affirmative	yah; yaataw
17.56	no, negative	ei; eitaw
17.61	how?	kuidas?
17.62	how many?	(kui) palyu?; (kui) mitu?
17.63	how much?	(kui) palyu?
17.64	what?	mis?; mida?
17.65	when?	millal?
17.66	where?	kus?; kuhu?
17.67	which?	missugune?; milline?
17.68	who?	kes?
17.69	why?	miks?
18.11	voice	hææl
18.12	sing	laulma
18.13	shout, cry out	hüüdma; kar̃yuma
18.15	whisper	sosistama
18.16	mumble	pomisema
18.17	whistle	wilistama
18.18	shriek, screech	kr̃iiskama; kisendama
18.19	howl	uluma; winguma
18.21	speak, talk	r̃æækima; kənelema
18.211	stutter, stammer	kokutama; kogelema
18.22	say	ütlema
18.221	tell story	yutustama
18.222	speech (make a)	kənet pidama
18.23	silent (be)	waikima; wait olema
18.24	language	keel
18.26	word	səna
18.28	name	nimi
18.31	ask (question, inquire)	küsima
18.32	answer	wastama
18.33	admit, confess	möönma; tunnistama
18.34	deny	eitama
18.35	ask, request	paluma; nəudma
18.36	promise	lubama ~ təotama
18.37	refuse	keelduma
18.38	forbid	keelama
18.39	rebuke, scold	noomima; etteheiteid tegema
18.41	call (=summon)	kutsuma
18.42	call (=name)	nimetama
18.43	announce	teatama; kuulutama
18.44	threaten	æhwar̃dama
18.45	boast	hooplema; kelkima
18.51	write	kir̃yutama
18.52	read	lugema
18.56	paper	paber̃
18.57	pen	sulg
18.61	book	r̃aamat
18.67	poet	luuletaya; poeet
18.71	flute	flööt
18.72	drum	tr̃umm
18.73	horn, trumpet	sar̃w; tr̃ompet
18.74	rattle	kər̃isti
19.11	country	maa
19.12	one's native country	kodumaa; isamaa
19.15	city, town	linn
19.16	village	küla
19.17	boundary	piir̃
19.21	people (populace)	r̃ahwas
19.23	tribe, clan	həim; sugukond
19.24	chief, chieftain	pealik; yuht
19.25	staff, walking stick	kepp; yalutuskepp
19.31	rule, govern	walitsema; yuhtima
19.32	king, ruler	kuningas; walitseya
19.33	queen	kuninganna
19.36	noble, nobleman	aadlik
19.37	citizen, subject	kodanik; (r̃iigi)alam
19.41	master	isand; per̃emees
19.42	slave	or̃i
19.43	servant	teener̃
19.44	freeman	waba mees; wabakodanik
19.45	command, order	kæskima; kæsutama
19.46	obey	kuuletuma; səna kuulma
19.47	let, permit	lubama; laskma
19.51	friend, companion	səber̃; kaaslane
19.52	enemy	waenlane
19.54	neighbor	naaber̃
19.55	stranger	wəər̃as
19.56	guest	külaline
19.57	host	per̃emees; wəər̃ustaya
19.58	help, aid	aitama
19.59	hinder, prevent	segama; takistama
19.61	custom	komme; tawa
19.62	strife, quarrel	r̃iid; tüli
19.63	conspiracy, plot	wandenəu; salaplaan
19.65	meet	kohtama
19.72	prostitute	pr̃ostituut; hoor̃
20.11	fight (vb)	wəitlema
20.13	war, battle	səda; lahing
20.14	peace	r̃ahu
20.15	army	ar̃mee; səyawægi
20.17	soldier	sədur̃
20.21	weapons, arms	r̃elwad; səyar̃iistad
20.22	club	nui
20.222	battle-ax	tapper̃; səyakir̃wes
20.23	sling	ling
20.24	bow	wibu
20.25	arrow	nool
20.26	spear	oda
20.27	sword	məək
20.28	gun, cannon	püss; kahur̃; suur̃tükk
20.31	armor (defensive)	soomusr̃üǘ; r̃audr̃üü
20.33	helmet	kiiwer̃
20.34	shield	kilp
20.35	fortress	kindlus
20.36	tower	tor̃n
20.41	victory	wəit
20.42	defeat	kaotus; lüüasaamine
20.43	attack	r̃ünnak
20.44	defend	kaitsma
20.45	retreat	taganema; taanduma
20.46	surrender	alla andma; alistuma
20.47	captive, prisoner	wangistatu; wang
20.471	guard, sentinel	walwur̃; waht
20.48	booty, spoils	saak; səyasaak
20.49	ambush	war̃itsus
20.51	fisherman	kalur̃; kalamees
20.52	fishhook	əngekonks
20.53	fishing line	əngenöör̃
20.54	fishnet	kalawər̃k
20.55	fish trap	mər̃d
20.56	bait	sööt
20.61	hunt	küttima
20.62	shoot	laskma; tulistama
20.63	miss (target)	mööda laskma
20.64	trap (noun)	ləks; püünis
20.65	trap (vb)	ləksu püüdma
21.11	law	əigus; seadus
21.15	court	kohus
21.16	judge (vb)	kohut məistma
21.17	judgment	kohtuotsus
21.18	judge (noun)	kohtunik
21.21	plaintiff	hageya
21.22	defendant	kaebealune; süüalune
21.23	witness	tunnistaya
21.24	swear	wanduma; wannet andma
21.25	oath	wanne
21.31	accuse	süüdistama
21.32	condemn	süüdi məistma
21.33	convict (vb)	süüdi məistma
21.34	acquit	əigeks məistma
21.35	guilty	süüdlane
21.36	innocent	süütu
21.37	penalty, punishment	kar̃istus
21.38	fine	tr̃ahw
21.39	prison, jail	wangla
21.42	murder	mər̃w
21.43	adultery	abielur̃ikkumine
21.44	rape	wægistamine
21.46	arson	süütamine
21.47	perjury	walewanne
21.51	steal	war̃astama
21.52	thief	war̃as
22.11	religion	usk; r̃eligioon
22.12	God	yumal
22.13	temple, church	tempel; kir̃ik
22.14	altar	altar̃
22.15	sacrifice, offering	ohwer̃dus; ohwer̃
22.16	worship	kummar̃dama; austama
22.17	pray	palwetama
22.18	priest	pr̃eester̃
22.19	holy, sacred	püha; pühitsetud
22.22	preach	yutlustama
22.23	bless	ənnistama
22.24	curse	needma; wanduma
22.26	fast (vb)	paastuma
22.31	heaven	taewas
22.32	hell	pər̃gu
22.35	demon (evil spirit)	deemon; kur̃iwaim
22.37	idol	ebayumal; iidol
22.42	magic, witchcraft, sorcery	nəiakunst; nəidus; wəluyəud
22.43	sorcerer, witch	nəid
22.44	fairy, elf	haldyas
22.45	ghost, phantom	kummitus; waim; wiirastus
22.47	omen, portent	enne; ettetæhendus
