entry_id	trans_english	Maori_Phonemic
11.86	store, shop	toa
11.87	price	utu
11.88	dear (costly, expensive)	utu nui
11.89	cheap	
11.91	share (distribute)	hea; waahi; toha-toha; tuwha-ia
11.92	weigh	pauna-tia
12.1	after	muri
12.11	behind	kei/ki/i muri; tua
12.2	beside	i te taha
12.3	down, below	iho; kei/ki/i hei raro; raro
12.4	before	noo/kei/ki/i mua
12.41	front	mua; aro-aro
12.5	inside, in	roto; roo
12.6	outside	waho; ki waho
12.7	under	i/kei raro; raro
12.8	up, above	kei/i ruŋa; ake; ruŋa
12.11	place	waahi; waa; takiwaa; ko.nei
12.12	put	kuhu-a; whaka-uru-a; puru-a
12.13	sit	noho-ia; noho
12.14	lie down	takoto-ria; waiho-tia; taapae
12.15	stand	tuu
12.16	remain, stay	waiho; whaka-rere-a; mahue; noho-ia; toe
12.17	remains, left overs	toe; toeŋa
12.21	collect, gather	hui; (kohi)kohi-a; hui-hui-a; raapoi-a
12.212	pick up	
12.213	pile up	puu; puu-raŋa-tia; apu-ria; ahu-ahu
12.22	join, unite	whaka-kotahi; hono-a; apiti-ria; taapiritia
12.23	separate	(wehe)wehe-a; wawae-a; motu-hia; mawehe; tauwehe
12.232	divide	(wehe)wehe-a; (waa)waahi-a
12.24	open	tuwhera; whaka-puare-tia; huakina
12.25	shut, close	tuutaki-na; kopi-a; kuku-a; kati-a; kapi-a
12.26	cover	uhi; uuhi; uwhi-a; uuwhi; whaariki
12.27	hide, conceal	huna; piri; ŋaro; whaka-ŋaro-mia; kuhu-a
12.31	high	tei-tei; tike-tike
12.32	low	haka-haka; paapaku; hauraro
12.33	top	tara; keo; tihi; ruŋa
12.34	bottom	raro
12.35	end	pito; mutu-ŋa; otiŋa; mata-mata; koiŋa; mutu; mutuŋa
12.352	pointed	mata-mata; tara; koiŋa
12.353	edge	rohe-a; tapa; ŋutu; taha
12.36	side	taha; kao-kao
12.37	middle, center	waeŋa; waeŋa-nui; waeŋa-rahi
12.41	right (side)	riŋa matau
12.42	left (side)	riŋa maui(i)
12.43	near (adv)	tata; nei; paatata
12.44	far (adv)	tawhiti; taawaahi; kooraa; koo atu
12.45	east	raa-whiti
12.46	west	uru; hauauru; tai hauauru
12.47	north	raro; hau-raro; raki
12.48	south	toŋa; ruŋa
12.53	grow	tupu-ria; tipu; tupu
12.54	measure	meehua; ruuri
12.541	span, fathom	maaroo
12.55	large, big	nui; rahi
12.56	small, little	iti; nohi-nohi; paku-paku; paku; moroiti
12.57	long	roa
12.58	tall	roa; tei-tei
12.59	short	(po)poto; haka-haka
12.61	wide, broad	whaa-nui
12.62	narrow	whaa-iti
12.63	thick (in dimension)	maatotoru
12.65	thin (in dimension)	rahi-rahi; aŋi-aŋi; tuupuhi; (w)hiiroki
12.67	deep	hoohonu
12.68	shallow	paapaku
12.71	flat	papa; papa-tahi; papa-tairite; paaraharaha; pararahi
12.73	straight	tootika; tika
12.74	crooked	hape; noni; nuke; hake; parori
12.75	hook	matau; piihuka
12.76	corner	kokoŋa; koko; koki; kopa
12.77	cross	riipeka-tia
12.78	square	tapawhaa
12.81	round	porotaka; poro(w)hita; pae
12.82	circle	porowhita
12.83	sphere, ball	pooro; poi-a; pookai-tia
12.84	line	
12.85	hole	poka; puta; rua; koowhao
12.92	like, similar	aahuataŋa; rite; riteŋa
12.93	change	whiti; whaka-whiti
13.0	zero, nothing	
13.1	one	tahi; kotahi
13.2	two	rua; tua-rua
13.3	three	toru
13.4	four	whaa
13.5	five	rima
13.6	six	ono
13.7	seven	whitu
13.8	eight	waru
13.9	nine	iwa
13.10	ten	tekau
13.101	eleven	tekau maa tahi
13.102	twelve	tekau maa rua
13.103	fifteen	tekau maa rima
13.104	twenty	rua tekau
13.105	hundred	rau
13.106	thousand	mano
13.107	count	(ta)tau-ria
13.14	every, all	katoa; teenei...
13.15	much, many	maha; tini; nui
13.16	more	eetahi atu
13.17	little (quantity), few	iti; poto; toru-toru; ouou; iti iho
13.18	enough	ka nui
13.181	some	ŋētahi
13.19	multitude, crowd	mano; tini; maha; huihuiŋa; whaka-mineŋa; roopuu
13.21	full	kii; maruu
13.22	empty	takoto kau
13.23	part, piece	waahaŋa; waahi; mara-mara; piihi
13.24	half	haawhe-tia
13.33	alone, only	anake
13.34	first	tuatahi
13.35	last	
13.36	second	tuarua; heekena
13.37	pair	puurua; whaka-pea-pea
13.38	two times	tuarua
13.42	third	tuatoru; toru
13.44	three times	
14.11	time	waa; [taaima]
14.12	age	pakeke
14.13	new	hoou
14.14	young	
14.15	old	tawhito; kaumaatua; koroheke; koroua; kuia
14.16	early	moata
14.17	late	too-muri; tuureiti
14.18	now	i-naianei; aakuanei; aianei
14.19	immediately	(n)aianei tonu
14.21	swift, fast, quick	tere; au; taaheke; horo; hohoro; kakama
14.22	slow	roa; whaka-roa-tia; pooturi
14.23	hasten, hurry	hohoro; whaka-hohoro
14.24	retard, delay	whaka-roa-tia
14.25	begin, beginning	tiimata-ria; whaka-tiimata-ŋia
14.252	last, endure	
14.26	end (temporal)	
14.27	finish	oti; mutu; whaka-mutu-a; whaka-oti-a
14.28	cease, stop	kaati; whaka-mutu-a
14.29	ready	rite; reri
14.31	always	i ŋaa waa katoa
14.32	often	
14.33	sometimes	
14.331	soon	aa-kuanei; meake; aianei; tata anoo
14.332	long-time (for a)	
14.34	never	
14.35	again	anoo; hoki
14.41	day	raa; raŋi; awatea; ao
14.42	night	poo-ŋia; poo
14.43	dawn	atatuu; atapoo; hii te ata
14.44	morning	ata
14.45	noon, midday	poupoutaŋa o te raa
14.451	afternoon	ahi-ahi; te heke-taŋa o te raa
14.46	evening	ahi-ahi
14.47	today	(n)aianei; ināianei; aakuanei
14.48	tomorrow	aa-poo-poo
14.481	day-after-tomorrow	
14.49	yesterday	i-nanahi; noo nanahi; i taainahi
14.491	day-before-yesterday	
14.51	hour	haora
14.53	clock, timepiece	[karaka]
14.61	week	[wiki]
14.62	Sunday	Raa-tapu
14.63	Monday	[Mane]
14.64	Tuesday	Tuurei
14.65	Wednesday	Wenerei
14.66	Thursday	Taaite
14.67	Friday	paraire
14.68	Saturday	Haatarei
14.71	month	marama
14.73	year	tau
14.74	winter	hootoke; takurua; makariri
14.75	spring	
14.76	summer	raumati
14.77	autumn	ŋahuru
14.78	season	tau; waa
15.21	smell (vb intrans)	hoŋi-a; roŋo-hia; roŋo
15.212	sniff	hoŋi-hoŋi
15.22	smell (vb trans)	
15.25	fragrant, good smelling	kakara
15.26	stinking, bad smelling	piro; hauŋa
15.31	taste	roŋo-hia; roŋo; haa; roŋo
15.35	sweet	reka
15.36	salty	
15.37	bitter	kawa
15.38	acid, sour	kawa
15.39	brackish	maataitai
15.41	hear	roŋo-hia; raŋo-na; roŋo
15.42	listen	whaka-roŋo
15.44	sound, noise	taŋi-hia; haruru
15.45	loud	taŋi nui
15.46	quiet, silence	marie; rata; aata noho
15.51	see	kite-a; mata-kite; kite
15.52	look, look at	titiro (ki); tiro-hia; maatakitaki
15.55	show	tohu; maarama; tohu-ŋia; tuhi-a
15.56	shine	tiaho; whiti-a; piiataata; whiti
15.57	bright	piiata; kanapa; wheriko; maarama
15.61	color	kara
15.62	light (in color)	maarama; ao; taiahoaho
15.63	dark (in color)	
15.64	white	maa; tea
15.65	black	maŋu; paŋo
15.66	red	whero; kookoowai; kura
15.67	blue	puruu
15.68	green	kaakaariki; kiriini
15.69	yellow	koowhai; puŋa-puŋa
15.71	touch	paa-ŋia; paa; whaka-paa; whaawhaa-ria
15.712	pinch	kikini; nonoti; pakini
15.72	feel	roŋo; roŋo-hia
15.74	hard	maaroo; pakeke; pakari
15.75	soft	ŋaawari; ŋohe-ŋohe
15.76	rough	tara-tara
15.77	smooth	maaene-ene
15.78	sharp	koi; whaka-koi-a
15.79	blunt, dull	puhuki; punuki
15.81	heavy	taimaha; taumaha; toimaha
15.82	light (in weight)	maamaa
15.83	wet, damp	maakuukuu; hau-maakuu; maakuu
15.84	dry	maroke; whaka-maroke-tia
15.85	hot	wera; paa-wera; mahana; kakaa
15.851	warm	mahana; wera-wera
15.86	cold	koopeke; maaeke; makariri; maatao
15.87	clean	maa
15.88	dirty, soiled	paru
15.89	wrinkled	koru-koru; memeŋe; ŋiŋio
16.11	soul, spirit	wairua; ŋaakau
16.15	surprised, astonished	miiharo; kete-kete ana te niho
16.18	good fortune, luck	waimarie
16.19	misfortune, bad luck	aituaa
16.23	joyful, glad, happy	manahau; ŋahau; tatuu; kua tatuu te ŋaakau
16.25	laugh	kata-ina; kata
16.251	smile	mene-mene ŋaa paapaariŋa
16.26	play	purei; tākaro
16.27	love	aroha-ina(ki)
16.29	kiss	kihi-a
16.3	embrace	awhi; awhi-tia; tauapo-hia; tauawhi
16.31	pain	mamae; whara
16.32	grief, sorrow, sadness	poouri
16.33	anxiety, worry	maahara-hara-tia
16.34	regret, be sorry	auee; taŋi-hia; mihi-a; aroha; koonohi
16.35	pity	aroha-ina
16.37	cry, weep	taŋi-hia; auee-tia; taŋi
16.38	tear (noun)	roi-mata
16.39	groan	auee; aurere
16.41	hate	kino; whaka-kino; mauaahara
16.42	anger	riri-a; puku-riri; riri; pooraŋi; ŋuha
16.44	envy, jealousy	(ha)hae; puu-hae-hae; harawene
16.45	shame (noun)	whaka-maa
16.48	proud	whaka-hii-hii; whaka-kake
16.51	dare	maaia
16.52	brave	maaia; toa
16.53	fear, fright	mataku; wehi; whaka-wehi; whaka-mataku-ria
16.54	danger	
16.62	desire, want	hia; hia-hia-tia; piiraŋi-tia; aro; hineŋaro
16.622	choose	whiri-whiri-a; tohuŋia; koowhiri-a
16.63	hope	tuumanako-hia(ki)
16.65	faithful	
16.66	true	pono
16.67	lie, tell lies	patau; teka; tito; hori-hori
16.68	deceit	
16.69	forgive	
16.71	good	pai
16.72	bad	kino; piro
16.73	right, correct	pono; tika; tootika; whaka-tika-ia
16.74	wrong	hee
16.76	fault	hee
16.77	mistake, error	hee; pooheehee; pooauau
16.78	blame	hee; whaka-hee-ŋia
16.79	praise	whaka-pai-a
16.81	beautiful	aataahua; huumarie
16.82	ugly	aahua kino; kino
16.83	greedy	
16.84	clever	moohio-tia; maatau-ria
17.11	mind	hineŋaro
17.13	think (= reflect)	whakaaro; maahara-hara
17.14	think (= be of the opinion)	
17.15	believe	whakapono-ŋia
17.16	understand	maatau-ria (ki); moohio-tia (ki); kite-a
17.17	know	moohio-tia(ki); maatau-ria; kite-a
17.171	guess	
17.172	imitate	whaaia; taawhai; kape
17.18	seem	
17.19	idea, notion	
17.21	wise	maatau-ria; moohio-tia; maatauraŋa
17.22	foolish, stupid	kuuare; hea-hea; wairaŋi
17.23	insane, crazy	pooraŋi-tia; hea-hea
17.24	learn	ako; aakona
17.242	study	
17.25	teach	ako-na; whaka-ako-na
17.26	pupil	akoŋa; tauira
17.27	teacher	maahita; kai-whakaako; kaikura; kuramaahita
17.28	school	[kura]; whare-kura
17.31	remember	mahara-tia(ki)
17.32	forget	ŋaro; ware-ware-tia(ki)
17.34	clear, plain	maarama
17.35	obscure	
17.36	secret	puku; ŋaro
17.37	sure, certain	moohio; tuuturu
17.38	explain	whaka-maarama-tia
17.41	intention, purpose	
17.42	cause	mea-tia; whaka-
17.43	doubt	rua-rua; rapu-rapu; raupeka
17.44	suspect	whaka-pae-ŋia
17.441	betray	kaikai wai-uu
17.45	need, necessity	
17.46	easy	ŋaawari; waiŋoo-hia
17.47	difficult	uaua; raru
17.48	try, attempt	whaka-maatau-ria
17.49	way, manner	riteŋa; tikaŋa; tuu
17.51	and	me
17.52	because	naa/noo/moo/taa-te-mea; noo
17.53	if	me
17.54	or	rānei
17.55	yes, affirmative	aae
17.56	no, negative	kaahore; kaaore; kaao; eehe; kaare; kaua
17.61	how?	peehea; peewhea-tia
17.62	how many?	hia; e(w)hia
17.63	how much?	
17.64	what?	aha-tia?
17.65	when?	aa hea?; noo naahea?; ina
17.66	where?	hea?; whea?
17.67	which?	tee(w)hea?; tēhea
17.68	who?	wai?
17.69	why?	naa te aha?; he aha ... ai?
18.11	voice	reo
18.12	sing	waiata-tia
18.13	shout, cry out	umere-tia; karaŋa-tia; pararee; tiiwaha; haamama
18.15	whisper	
18.16	mumble	
18.17	whistle	whio; korowhiti; wiihara
18.18	shriek, screech	kowee; tiwee; auee; taŋi-hia; ŋawii
18.19	howl	taŋi; auee; ŋawii
18.21	speak, talk	kii-a; mea-tia; koorero-tia; whaka-atu-ria; whaaki-na
18.211	stutter, stammer	
18.22	say	koorero-tia; kii-a; mea-tia; kii-a; mea
18.221	tell story	koorero
18.222	speech (make a)	koorero-tia; kii-a; kupu; reo
18.23	silent (be)	noho-puku; haaŋuu
18.24	language	reo
18.26	word	kupu; kii
18.28	name	iŋoa
18.31	ask (question, inquire)	ui-a(ki); paatai-ŋia(ki)
18.32	answer	whaka-hoki-a(ki); whaka-utu-a
18.33	admit, confess	whaaki-na
18.34	deny	whaka-kaahore-tia
18.35	ask, request	inoi-a
18.36	promise	oati
18.37	refuse	whaka-kaahore-tia; whaka-parahako-tia
18.38	forbid	whaka-kaahore-tia; whaka-kore; peehi-a
18.39	rebuke, scold	kohete; koowhete-whete; kowhete-tia
18.41	call (=summon)	karaŋa; pararē
18.42	call (=name)	hua-ina; tapa-ia
18.43	announce	pānui
18.44	threaten	whaka-wehi-a
18.45	boast	whakaputa; whakakake; whakatuu; paakiwaha
18.51	write	(tuhi)tuhi-a; tuhi
18.52	read	koorero-tia
18.56	paper	[pepa]
18.57	pen	pene
18.61	book	puka-puka
18.67	poet	
18.71	flute	puutorino; kooauau
18.72	drum	
18.73	horn, trumpet	puu-taatara; teetere
18.74	rattle	tataŋi
19.11	country	whenua
19.12	one's native country	
19.15	city, town	taa-one
19.16	village	kaaiŋa; paa
19.17	boundary	rohe-a; raina
19.21	people (populace)	iwi; taaŋata; huŋa
19.23	tribe, clan	hapuu; iwi; apa; ohu; ope
19.24	chief, chieftain	raŋatira; ariki; paahi
19.25	staff, walking stick	toko-toko
19.31	rule, govern	whaka-haere tikaŋa
19.32	king, ruler	kiiŋi
19.33	queen	kuiini
19.36	noble, nobleman	
19.37	citizen, subject	taŋata Maaori; taŋata whenua
19.41	master	maahita; raŋatira
19.42	slave	taureka-reka
19.43	servant	kaimahi; ponoŋa
19.44	freeman	
19.45	command, order	tono-a; whakahau-a
19.46	obey	roŋo-hia; aata whaka-roŋo
19.47	let, permit	tuku-a
19.51	friend, companion	hoa; hika; mara; paa; takataapui
19.52	enemy	hoariri
19.54	neighbor	
19.55	stranger	tauiwi; Paakehaa; tauhoou
19.56	guest	manuhiri
19.57	host	taŋata whenua
19.58	help, aid	aawhina-tia
19.59	hinder, prevent	whaka-wheruu-tia; whaka-kooroi-roi
19.61	custom	tikaŋa; riteŋa
19.62	strife, quarrel	riri; pakaŋa; whawhai
19.63	conspiracy, plot	
19.65	meet	tuutaki-na
19.72	prostitute	
20.11	fight (vb)	whawhai-tia (ki); riri-a; parekura
20.13	war, battle	pakaŋa-tia; whawhai; parekura
20.14	peace	roŋo; raŋi-maarie
20.15	army	ope; taua
20.17	soldier	hooia
20.21	weapons, arms	patu; raakau
20.22	club	patu-a; wahaika; mere; kotiate
20.222	battle-ax	
20.23	sling	kootaha; piu-a
20.24	bow	koopere
20.25	arrow	pere-a
20.26	spear	tao; matarau; kookiri
20.27	sword	hoari
20.28	gun, cannon	puu; puu repo; tuu-para
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	pua-pua; hiira
20.35	fortress	
20.36	tower	
20.41	victory	wikitooria
20.42	defeat	hiŋaŋa
20.43	attack	huaki-na
20.44	defend	wawao
20.45	retreat	
20.46	surrender	tuku-a
20.47	captive, prisoner	here-here
20.471	guard, sentinel	tiaki-na
20.48	booty, spoils	paarureŋa; parakete
20.49	ambush	
20.51	fisherman	
20.52	fishhook	matau; piihuka
20.53	fishing line	hii; aho; raina
20.54	fishnet	hao-a
20.55	fish trap	
20.56	bait	moounu-tia; maaunu-tia; (poa)poa
20.61	hunt	whai-whai; whaka-ŋau-a
20.62	shoot	wene; toro-toro; tupu; pihi-pihi; puu
20.63	miss (target)	
20.64	trap (noun)	rore-a; taawhiti
20.65	trap (vb)	
21.11	law	ture
21.15	court	
21.16	judge (vb)	whaka-waa-kia
21.17	judgment	
21.18	judge (noun)	tiati; kai-whaka-waa; kaiwhiri-whiri
21.21	plaintiff	
21.22	defendant	
21.23	witness	kaiwhakaatu
21.24	swear	
21.25	oath	
21.31	accuse	whakapae-a
21.32	condemn	whaka-hee-ŋia
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	
21.36	innocent	
21.37	penalty, punishment	whiu-a
21.38	fine	
21.39	prison, jail	whare here-here
21.42	murder	koohuru-tia
21.43	adultery	puuremu-tia
21.44	rape	
21.46	arson	
21.47	perjury	
21.51	steal	paahua-tia; taahae-tia; whaanako-tia
21.52	thief	taahae-tia; kaiaa; whaanako-tia
22.11	religion	haahi
22.12	God	atua
22.13	temple, church	temepara
22.14	altar	aata
22.15	sacrifice, offering	patuŋa tapu; whaka-here; koha; whaka-aro
22.16	worship	karakia-tia
22.17	pray	inoi-a
22.18	priest	tohuŋa
22.19	holy, sacred	tapu
22.22	preach	kauwhau-tia
22.23	bless	whakapai-ŋia
22.24	curse	kaŋa-a; kohu-kohu
22.26	fast (vb)	noho puku
22.31	heaven	raŋi
22.32	hell	Te Poo
22.35	demon (evil spirit)	rewera; kino
22.37	idol	whaka-pakoko
22.42	magic, witchcraft, sorcery	maakutu-ria
22.43	sorcerer, witch	wahine maakutu
22.44	fairy, elf	
22.45	ghost, phantom	keehua
22.47	omen, portent	aituaa; tohu-ŋia
