entry_id	trans_english	Yagán_Phonemic
20.25	arrow	yakuš
20.26	spear	saya
20.27	sword	
20.28	gun, cannon	
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	
20.35	fortress	
20.36	tower	
20.41	victory	
20.42	defeat	
20.43	attack	akiwara
20.44	defend	
20.45	retreat	
20.46	surrender	
20.47	captive, prisoner	
20.471	guard, sentinel	
20.48	booty, spoils	
20.49	ambush	
20.51	fisherman	
20.52	fishhook	
20.53	fishing line	ina
20.54	fishnet	mata
20.55	fish trap	čawanux
20.56	bait	xufana
20.61	hunt	kopana
20.62	shoot	
20.63	miss (target)	
20.64	trap (noun)	
20.65	trap (vb)	ata
21.11	law	
21.15	court	
21.16	judge (vb)	
21.17	judgment	
21.18	judge (noun)	
21.21	plaintiff	
21.22	defendant	
21.23	witness	
21.24	swear	
21.25	oath	
21.31	accuse	
21.32	condemn	
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	
21.36	innocent	
21.37	penalty, punishment	
21.38	fine	pisa
21.39	prison, jail	
21.42	murder	amaiwaina
21.43	adultery	inkaka
21.44	rape	
21.46	arson	
21.47	perjury	
21.51	steal	šeina
21.52	thief	šeina
22.11	religion	
22.12	God	watainewa
22.13	temple, church	
22.14	altar	
22.15	sacrifice, offering	
22.16	worship	
22.17	pray	ašu
22.18	priest	[prista]
22.19	holy, sacred	
22.22	preach	
22.23	bless	
22.24	curse	xapaša
22.26	fast (vb)	
22.31	heaven	
22.32	hell	
22.35	demon (evil spirit)	tifoli
22.37	idol	
22.42	magic, witchcraft, sorcery	
22.43	sorcerer, witch	kačpix
22.44	fairy, elf	
22.45	ghost, phantom	xanuš
22.47	omen, portent	
