entry_id	trans_english	Yavitero_Phonemic
16.23	joyful, glad, happy	ka'ľ̥utu-hi
16.25	laugh	tateha
16.251	smile	tateha
16.26	play	weweta
16.27	love	hateha
16.29	kiss	[besa]
16.3	embrace	
16.31	pain	kawi
16.32	grief, sorrow, sadness	ku'iyuľe-hi
16.33	anxiety, worry	
16.34	regret, be sorry	maľita
16.35	pity	
16.37	cry, weep	haya
16.38	tear (noun)	ihanaha huľisi
16.39	groan	haya
16.41	hate	
16.42	anger	
16.44	envy, jealousy	simuta
16.45	shame (noun)	
16.48	proud	ma'weľ̥i-hi
16.51	dare	
16.52	brave	iye-hi
16.53	fear, fright	ľ̥asita; ľ̥asia
16.54	danger	
16.62	desire, want	hateha
16.622	choose	
16.63	hope	
16.65	faithful	yunihi
16.66	true	
16.67	lie, tell lies	gu'ad͜za
16.68	deceit	
16.69	forgive	[herduna]
16.71	good	yunihi-na
16.72	bad	kuľusi
16.73	right, correct	
16.74	wrong	
16.76	fault	
16.77	mistake, error	
16.78	blame	kuľusiľ̥iami
16.79	praise	
16.81	beautiful	a'wetuaľi-hi
16.82	ugly	kuľusita-hi
16.83	greedy	
16.84	clever	
17.11	mind	naniwata-si
17.13	think (= reflect)	naniwata
17.14	think (= be of the opinion)	naniwata
17.15	believe	naniwata
17.16	understand	wita
17.17	know	wita
17.171	guess	kauta
17.172	imitate	ma wic̷a...
17.18	seem	
17.19	idea, notion	naniwata-si
17.21	wise	
17.22	foolish, stupid	ma'beni-hi
17.23	insane, crazy	hika
17.24	learn	kanainta
17.242	study	
17.25	teach	c̷i'ata
17.26	pupil	ka'nainta-ľi
17.27	teacher	ka'nainta-ľi
17.28	school	kanainta-kade maľ̥ikuyu
17.31	remember	naniwata
17.32	forget	makuta yeľ̥a
17.34	clear, plain	ka'ľ̥eha-hi
17.35	obscure	
17.36	secret	
17.37	sure, certain	ehena-hi
17.38	explain	
17.41	intention, purpose	
17.42	cause	
17.43	doubt	
17.44	suspect	
17.441	betray	
17.45	need, necessity	
17.46	easy	hata kentana-hi
17.47	difficult	kentana-hi
17.48	try, attempt	
17.49	way, manner	
17.51	and	-na
17.52	because	siwita
17.53	if	iľ̥a'naha
17.54	or	
17.55	yes, affirmative	ehe
17.56	no, negative	ya; yama
17.61	how?	ľ̥ana
17.62	how many?	
17.63	how much?	ahec̷a
17.64	what?	
17.65	when?	hac̷a
17.66	where?	kisa
17.67	which?	meľ̥i
17.68	who?	
17.69	why?	hena
18.11	voice	ku'ľeniľ̥i
18.12	sing	yayaka
18.13	shout, cry out	kuhuta
18.15	whisper	ľ̥eľ̥ia
18.16	mumble	
18.17	whistle	ľ̥uwia
18.18	shriek, screech	kemaha
18.19	howl	kemaha
18.21	speak, talk	c̷ina
18.211	stutter, stammer	
18.22	say	ma
18.221	tell story	c̷ina
18.222	speech (make a)	
18.23	silent (be)	
18.24	language	ku'ľeniľ̥i
18.26	word	ku'ľeniľ̥i
18.28	name	iľ̥iwanaha
18.31	ask (question, inquire)	kehentata
18.32	answer	hawihana
18.33	admit, confess	
18.34	deny	
18.35	ask, request	nahita
18.36	promise	
18.37	refuse	
18.38	forbid	
18.39	rebuke, scold	haka
18.41	call (=summon)	waita
18.42	call (=name)	kaľ̥iwanahami
18.43	announce	
18.44	threaten	
18.45	boast	
18.51	write	yanata
18.52	read	
18.56	paper	[ha'hela]
18.57	pen	
18.61	book	[ha'hela]
18.67	poet	
18.71	flute	ya'huľuľu
18.72	drum	[tam'buru]
18.73	horn, trumpet	
18.74	rattle	
19.11	country	
19.12	one's native country	
19.15	city, town	hi'naľ̥i
19.16	village	
19.17	boundary	
19.21	people (populace)	ka'mewa
19.23	tribe, clan	
19.24	chief, chieftain	minaľi
19.25	staff, walking stick	
19.31	rule, govern	
19.32	king, ruler	--
19.33	queen	--
19.36	noble, nobleman	--
19.37	citizen, subject	
19.41	master	minaľi
19.42	slave	
19.43	servant	
19.44	freeman	
19.45	command, order	
19.46	obey	ľ̥asima-hi
19.47	let, permit	we
19.51	friend, companion	haľ̥uhemi
19.52	enemy	
19.54	neighbor	
19.55	stranger	
19.56	guest	
19.57	host	
19.58	help, aid	[hayuda]
19.59	hinder, prevent	menahata
19.61	custom	
19.62	strife, quarrel	
19.63	conspiracy, plot	
19.65	meet	yateta
19.72	prostitute	
20.11	fight (vb)	mawa-ha
20.13	war, battle	uwi
20.14	peace	wi'yumana
20.15	army	
20.17	soldier	[c̷u'rudawa]
20.21	weapons, arms	mu'kawa
20.22	club	
20.222	battle-ax	
20.23	sling	
20.24	bow	c̷a'wituľeľ̥i
20.25	arrow	c̷awita
20.26	spear	[lansa]
20.27	sword	
20.28	gun, cannon	mu'kawa
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	
20.35	fortress	
20.36	tower	
20.41	victory	
20.42	defeat	
20.43	attack	huhuta
20.44	defend	nani
20.45	retreat	ľ̥a ha'te
20.46	surrender	
20.47	captive, prisoner	[heresu]-ta
20.471	guard, sentinel	
20.48	booty, spoils	
20.49	ambush	
20.51	fisherman	wi'nahatahiľ̥i
20.52	fishhook	hu'teľ̥i
20.53	fishing line	
20.54	fishnet	weľemaka
20.55	fish trap	ka'kuľi
20.56	bait	imanaha
20.61	hunt	winahata
20.62	shoot	ľ̥inua
20.63	miss (target)	
20.64	trap (noun)	
20.65	trap (vb)	
21.11	law	
21.15	court	
21.16	judge (vb)	
21.17	judgment	
21.18	judge (noun)	
21.21	plaintiff	
21.22	defendant	
21.23	witness	
21.24	swear	
21.25	oath	
21.31	accuse	[keha]
21.32	condemn	heka-mi
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	
21.36	innocent	
21.37	penalty, punishment	haka
21.38	fine	
21.39	prison, jail	[sepu]
21.42	murder	
21.43	adultery	
21.44	rape	
21.46	arson	
21.47	perjury	
21.51	steal	huhata
21.52	thief	ka'huhane
22.11	religion	
22.12	God	Napiruľi
22.13	temple, church	[haľe]c̷a-kade
22.14	altar	
22.15	sacrifice, offering	
22.16	worship	
22.17	pray	[haľ̥e]c̷a
22.18	priest	[haľe]
22.19	holy, sacred	
22.22	preach	
22.23	bless	
22.24	curse	
22.26	fast (vb)	tuna
22.31	heaven	
22.32	hell	
22.35	demon (evil spirit)	ka'c̷imehe
22.37	idol	
22.42	magic, witchcraft, sorcery	
22.43	sorcerer, witch	ma'riri
22.44	fairy, elf	
22.45	ghost, phantom	
22.47	omen, portent	
